Experiment Name	Sample Name	Run Date	Sequencer ID	Flow Cell Position	Flow Cell ID	Flow Cell Product Code	Data output (Gb)	Read Count (M)	N50 (kb)	MinKNOW Version	Sample Rate (Hz)	Starting Median Translocation Speed	Average Median Translocation Speed Over Time	Weighted Average Median Translocation Speed Over Time	Starting Median Q Score	Average Median Q Score Over Time	Weighted Average Median Q Score Over Time	Passed Bases (Gb)	Failed Bases (Gb)	Passed Reads (M)	Failed Reads (M)	Percentage Passed Bases	Percentage Passed Reads	Passed Modal Q Score	Failed Modal Q Score	Starting Active Pores	Second Active Pore Count	Average Active Pores	Active Pore AUC	Average Active Pore Change Per Mux Scan	Starting Pore Occupancy	Average Pore Occupancy	Starting Adapter Sequencing Percentage	Average Adapter Sequencing Percentage	Start Run ISO Timestamp	Start Run Timestamp
UKBEC_058_IF	UKBEC_058_IF	2025-02-10	PC48B080	1B	PBC14353	FLO-PRO114M	125.76	7.697	25.88	24.06.14	5000	395.457	388.434	390.14	12.648	12.401	12.673	115.967	10.632	6.435	1.291	91.602	83.29	13.85	5.75	6810	6364	3050.593	179985	108.897	96.575	95.042	0.783	0.561	2025-02-10T18:16:40.932068052Z	1739211401
UKBEC_015_FTX	UKBEC_015_FTX	2025-01-21	PC48B080	1F	PBA79285	FLO-PRO114M	48.669	3.053	27.01	24.06.14	5000	392.862	386.143	389.308	12.754	11.397	12.265	43.781	4.078	2.39	0.674	91.479	78.003	13.95	5.75	3901	3624	1332.933	59982	82.023	97.709	92.919	0.47	0.581	2025-01-21T19:23:08.054460734Z	1737487388
UKBEC_012_FTX	UKBEC_012_FTX_topup	2025-01-29	PC48B080	2B	PBC09796	FLO-PRO114M	30.729	1.683	27.77	24.06.14	5000	402.922	391.237	395.53	12.68	11.815	12.328	28.586	2.031	1.395	0.298	93.366	82.398	13.85	3.65	2420	2283	857.609	39450	47.778	97.286	89.585	0.527	0.385	2025-01-29T19:05:27.116605433Z	1738177527
UKBEC_014_FTX	UKBEC_014_FTX	2025-01-21	PC48B080	1E	PAW96171	FLO-PRO114M	36.492	2.232	25.69	24.06.14	5000	394.192	387.737	390.137	11.933	11.087	11.47	31.354	4.396	1.682	0.556	87.703	75.156	13.45	5.75	3501	2921	1096.311	49334	70.727	96.546	89.832	0.954	0.597	2025-01-21T19:22:52.714427953Z	1737487373
UKBEC_097_FPS	UKBEC_097_FPS	2025-02-10	PC48B098	1H	PBC40857	FLO-PRO114M	69.861	4.018	27.57	24.06.14	5000	399.764	397.305	397.354	12.744	12.973	12.994	68.389	3.29	3.281	0.764	95.41	81.112	14.05	3.05	7332	6700	3346.7	100401	224.069	95.415	91.967	0.903	0.775	2025-02-10T18:30:35.261835389Z	1739212235
UKBEC_023_FPS	UKBEC_023_FPS_recovery	2025-02-26	PC48B080	2E	PBA95705	FLO-PRO114M	5.713	0.729	28.47	24.06.14	5000	394.943	339.026	389.645	6.317	4.562	5.82	1.614	3.541	0.155	0.574	31.309	21.262	8.05	4.05	5435	3873	1142.478	52554	97.222	51.77	7.051	0.803	4.245	2025-02-26T17:49:39.960107192Z	1740592180
UKBEC_101_IF	UKBEC_101_IF	2025-02-04	PC48B098	1D	PAY46934	FLO-PRO114M	116.756	8.295	25.66	24.06.14	5000	395.72	381.864	382.78	12.265	12.005	12.275	107.091	10.886	6.617	1.701	90.773	79.55	13.75	5.95	6624	6202	2908.483	174509	102.169	94.425	92.818	1.283	0.701	2025-02-04T19:13:35.388479958Z	1738696415
UKBEC_041_BG	UKBEC_041_BG	2025-03-04	PC48B080	1H	PBC71046	FLO-PRO114M	171.94	9.878	28.49	24.06.14	5000	399.54	389.473	390.666	12.5	12.683	12.943	161.249	13.358	7.417	2.507	92.35	74.738	14.45	3.45	7373	7303	4609.373	271953	108.207	90.616	92.903	2.028	1.287	2025-03-04T17:41:54.239179630Z	1741110114
UKBEC_025_IF	UKBEC_025_IF_topup	2025-02-24	PC48B080	1F	PBC49962	FLO-PRO114M	45.002	2.525	28.61	24.06.14	5000	397.548	389.869	394.373	12.705	11.948	12.597	42.777	3.17	2.019	0.519	93.101	79.551	13.85	5.95	5071	4443	1451.935	66789	104.111	96.093	79.434	0.936	0.646	2025-02-24T19:15:32.636468011Z	1740424533
UKBEC_108_IF	UKBEC_108_IF	2025-02-04	PC48B098	2C	PAY67958	FLO-PRO114M	139.348	9.037	22.29	24.06.14	5000	399.058	390.764	391.814	13.334	13.276	13.33	132.023	9.772	7.735	1.348	93.108	85.159	14.25	6.05	7860	7524	4591.318	202018	121.86	97.374	98.085	1.13	0.606	2025-02-04T19:20:10.307300524Z	1738696810
